,Virginia,Florida,California,New York,New Jersey,Oregon,Arizona,Washington,Indiana,Texas,Wisconsin,West Virginia,Utah,Pennsylvania,North Carolina,Massachusetts,Nevada,Rhode Island,Colorado,Michigan,Hawaii,Maryland,the District of Columbia,Minnesota,Tennessee,New Hampshire,Kansas,Ohio,South Carolina,Georgia,Oklahoma,New Mexico,Iowa,Missouri,Illinois,South Dakota,Vermont,Wyoming,Montana,Alabama,Connecticut,Delaware,Idaho,North Dakota,Nebraska,Mississippi,Alaska,Arkansas,Louisiana,Kentucky,Maine
3/1/01,132962.9375,115738.4055,218183.441,168136.4438,186843.7505,157223.3644,143053.3498,184374.8357,100694.3408,112404.2493,125735.2241,77150.21961,176369.0249,103860.7894,134106.7062,224675.2584,161564.12,144732.8346,198483.4326,125909.8077,207655.3996,158442.3466,174741.748,143525.88,113835.4979,151150.9926,92978.86049,110956.6141,118485.9639,133462.7806,85780.99806,,95514.91763,103133.5384,137664.6797,106879.4209,125161.0307,,,103063.9938,177733.222,156607.8143,125055.9884,,115223.1262,90176.57223,146084.095,90507.70073,108397.8516,90149.00737,120281.8562
4/1/01,133835.8847,116558.7994,220948.7472,169098.0996,188391.8558,157622.9297,143683.3115,185140.4086,100649.2496,112275.6366,126314.9177,77307.74868,176544.4451,104328.25,134375.8407,227147.299,162399.6439,146058.4551,200296.3219,126358.3257,208351.803,159187.6935,176479.7664,144937.0158,114082.6762,152875.428,93542.83865,111269.6288,118810.8255,134083.4336,86124.26793,,95779.53091,103653.4629,138361.1351,107283.5934,126094.5698,,,103315.876,178919.3298,157329.6915,125580.4814,,111842.9689,90353.95397,149720.5802,90680.70023,108884.2043,90538.8497,121194.5001
5/1/01,134801.4499,117457.3781,223719.7785,170160.1579,189919.7836,158071.7259,144322.7519,185802.2237,100848.3715,112318.8192,126913.7934,77615.99995,176644.2013,104775.6194,134688.9808,229701.3182,163289.0969,147468.6651,202105.6141,126902.4404,209358.402,160060.0978,178463.6848,146378.9818,114367.939,154800.1888,94069.55898,111609.2277,119177.5144,134769.061,86425.08744,,96082.48673,104270.5532,139189.9541,107875.098,126956.7879,,,103565.2662,180255.1901,158078.3047,126093.7157,,108344.9745,90672.72989,152733.9627,90997.57902,109328.5395,90946.22629,122285.4857
6/1/01,135767.2193,118395.3494,226237.0312,171332.4149,191621.9278,158539.7008,144967.7293,186479.5383,101201.7353,112449.7585,127545.5021,77928.53123,176811.18,105231.1009,135003.9503,232383.0352,164151.6313,148923.2006,203722.2581,127457.9239,210502.1336,161110.2502,180377.6313,147822.2835,114646.4408,156860.1081,94579.69942,111943.5543,119566.9926,135453.6703,86723.54002,,96468.91833,104945.2903,140063.4067,108179.8282,127770.3236,,,103822.0526,181601.6839,158813.3664,126475.4823,,107464.4836,91011.0615,155264.3703,91357.57981,109735.1496,91380.12696,123489.3332
7/1/01,136807.0888,119403.6959,228593.748,172563.11,193454.871,159087.5996,145581.3609,187120.1417,101630.9396,112603.5724,128218.3606,78240.9767,176950.0009,105721.1498,135304.5988,235226.8355,165070.7447,150482.7168,205316.5854,128033.7964,211757.7361,162238.9421,182301.3809,149335.9672,114913.3642,158921.6904,95079.8083,112316.5632,120044.0114,136136.4823,87004.6598,,96859.88169,105634.6563,140964.4515,108471.2211,128604.9836,,,104112.5701,182906.9222,159513.1418,126867.1446,,107437.6378,91291.98246,157637.8219,91772.62676,110125.6112,91812.97097,124846.1597
8/1/01,137854.6231,120472.4754,230864.4799,173854.9692,195478.1148,159710.8843,146188.2087,187909.3577,102007.9627,112741.7326,128926.9853,78530.57114,177220.2137,106260.9747,135646.7433,238325.5522,166008.2435,152347.5116,206887.1556,128644.037,212982.5768,163483.5441,184422.113,150984.2948,115227.7102,160804.9045,95548.95276,112730.6131,120433.8066,136829.8904,87318.71372,,97287.21632,106267.007,142067.2704,108540.8908,129372.9534,,,104370.9058,184596.6899,160254.321,127341.7697,,107604.3564,91611.05463,159355.5001,92118.17653,110565.4907,92195.19852,126009.6659
9/1/01,138934.5867,121580.4931,233068.4379,175118.4638,197647.6365,160295.3718,146799.0111,188626.0305,102209.4137,112887.0389,129639.6492,78776.55613,177471.1267,106807.355,135996.5115,241335.8443,166975.8071,154396.8853,208362.6269,129307.5469,214337.2104,164758.439,186676.5394,152743.615,115560.7973,162697.3773,95970.5248,113152.9205,120767.2757,137520.8412,87648.75433,,97713.89073,106874.7547,143333.0983,108631.9054,130148.2876,,,104661.1751,186467.3688,161042.444,127853.618,,107837.1386,91904.62149,160561.8674,92414.57895,111010.8685,92523.99222,127113.7975
10/1/01,139968.5564,122691.5511,235129.1861,176448.337,199911.2841,160858.7635,147458.9817,189426.3069,102517.8959,113039.0262,130331.8798,79040.92054,177734.7129,107309.4251,136381.5076,244544.8833,167958.5184,156685.6519,209651.9469,129979.2988,215722.3755,165974.0978,188937.2634,154561.1289,115926.3864,164514.204,96385.52586,113558.1643,121078.7022,138203.9535,87957.97493,,98147.64729,107509.578,144789.3746,108840.1998,130981.9166,,,104994.8176,188576.0797,161884.0365,128335.0123,,108061.3248,92358.98249,161364.931,92604.55728,111447.5438,92813.22849,128106.6516
11/1/01,141038.6696,123757.0984,237065.1297,177840.486,201981.5803,161360.5285,148142.7931,190129.9805,102758.5909,113150.0738,130990.2434,79200.44381,177927.3434,107819.2506,136682.1498,247697.5057,168876.9295,158732.249,210702.6068,130588.9746,216952.0802,167164.2623,191095.2331,156290.8716,116225.9347,166266.9354,96786.80043,113924.3714,121404.9671,138823.0329,88212.93035,,98566.93181,108185.969,145900.5424,109088.5117,131972.8876,,,105321.9622,190418.6083,162759.5007,128640.9885,,108282.0757,92699.67877,162286.8212,92735.39931,111865.7097,93089.46953,129284.738
12/1/01,142054.3372,124802.1338,238875.487,179318.6724,203847.326,161890.9538,148782.171,190990.0426,103086.6583,113239.7873,131622.3658,79310.77688,178014.2707,108301.504,136945.6804,250665.2746,169827.8214,160728.4444,211527.8422,131153.2138,218048.113,168373.2175,193283.8839,157771.1423,116453.7878,168004.181,97198.43422,114255.5633,121731.4557,139400.0633,88440.0235,,98996.50801,108872.5199,146722.7655,109253.5856,133007.5908,,,105564.9712,191945.6254,163653.7709,128911.4325,,108522.9112,92968.25668,163326.1349,92812.46853,112236.844,93338.78178,130429.3931
1/1/02,143007.3765,125745.6844,240338.1847,180778.1099,205593.2212,162399.235,149316.8494,191716.8143,103134.4714,113270.3982,132220.0515,79400.79094,178035.7526,108781.3334,137166.4828,253078.605,170686.4034,162358.2776,211996.1271,131736.0925,218827.2727,169588.9376,195381.3755,159000.2785,116617.5229,169738.56,97588.26533,114535.8333,121980.0538,139891.1485,88656.45756,,99278.82208,109498.6425,147290.3603,109383.6092,134087.0038,,,105708.5254,193151.8202,164566.5884,129084.7448,,108820.3897,93101.29538,164087.8615,92901.88611,112519.5375,93545.80306,131734.3606
2/1/02,143952.2015,126618.4807,241833.6095,182103.0678,207391.1125,162894.9498,149800.9984,192424.6294,103121.2342,113355.2579,132773.5224,79604.42748,177955.0782,109256.5553,137353.2659,255145.8622,171442.5032,164041.0253,212416.1186,132235.5411,219841.1282,170762.5361,197485.0237,160026.1529,116794.6897,171403.2533,97913.76028,114765.8679,122129.7637,140364.1655,88923.35424,,99464.69791,110094.3948,147954.1909,109849.2015,135155.425,,,105863.5661,194253.1865,165483.9957,129337.9442,,109105.9573,93146.27236,164697.517,93044.52416,112836.0477,93751.5534,133051.3472
3/1/02,144943.278,127471.8168,243583.9665,183226.7577,209228.0435,163379.9988,150326.8132,193046.5569,102951.2195,113567.9041,133278.247,79893.04022,178005.5854,109752.0447,137530.9903,257251.6807,172274.4827,165687.0691,213017.0407,132674.9052,221003.0602,171940.8407,199438.7323,160972.1466,116978.1801,172881.1211,98205.64841,114986.9162,122259.8422,140794.066,89175.75295,,99559.07363,110607.8105,148760.7249,110219.065,136257.4266,,,105994.1478,195523.9554,166463.0101,129532.2409,,109461.0756,93185.37872,165205.4685,93224.88917,113204.0933,93944.6565,134443.7783
4/1/02,146063.2732,128431.9776,245945.813,184334.4576,211079.0931,163882.1572,150910.8704,193615.6537,102803.8247,113941.8529,133761.6307,80141.2149,178132.7945,110297.298,137647.9084,259493.1289,173222.7921,167576.5265,213797.051,132996.8635,222492.6897,173264.2143,201706.9332,161873.3093,117144.1657,174449.5123,98477.62479,115210.3751,122380.8898,141252.9919,89443.23805,132224.9878,99813.15849,111097.4099,149513.7618,110473.5711,137318.934,145535.0096,,106142.0037,197023.7621,167489.5385,129743.1076,,109750.6251,93145.11489,166039.1919,93434.36314,113637.6261,94142.78298,135876.1709
5/1/02,147216.6915,129485.464,248703.5444,185515.2735,212999.2107,164518.4163,151503.651,194114.2378,102839.2106,114382.4085,134271.7508,80352.65928,178243.8177,110893.0821,137829.4008,261913.1704,174292.2993,169776.4945,214678.4481,133325.6023,223809.0665,174920.3745,204260.1738,163041.2041,117329.4164,175953.3223,98489.87681,115475.0201,122594.5677,141721.1443,89678.1263,132449.5516,100196.1435,111609.2981,150312.3114,110577.1021,138314.0012,144241.4031,,106330.2255,198796.9867,168505.4932,129977.2651,,110153.1546,93250.19045,166787.6118,93705.49165,114434.5815,94326.25639,137240.4378
6/1/02,148490.6879,130586.9389,251763.2621,186886.3841,215155.0777,165278.5719,152170.2355,194560.4353,103101.5346,114875.9912,134826.0788,80555.6341,178342.2315,111549.0542,138019.7703,264428.9693,175194.1751,172215.8792,215424.9312,133689.335,225259.8954,176818.7384,207097.1264,164239.1138,117541.5656,177635.1827,98421.31024,115771.3026,122823.1707,142200.6558,89918.19623,132549.023,100695.4526,112199.5113,151099.9175,110929.5,139286.346,143651.947,,106564.4496,200819.8414,169587.5273,130323.1825,,110472.5719,93428.96414,167391.2767,94029.28303,115189.484,94530.42257,138661.233
7/1/02,149842.7367,131708.344,255303.0112,188359.1984,217576.0343,166110.3947,152891.5037,195126.7153,103458.6815,115377.7127,135407.782,80806.39175,178437.9711,112283.1949,138279.6198,267274.5144,176018.2405,174946.6899,216149.7823,134042.4569,227031.2218,178928.4753,209871.2899,165543.9005,117790.0976,179331.3724,98324.3529,116117.3296,123149.3744,142653.1226,90174.77533,132890.762,101142.5309,112840.2089,152046.9108,111352.4257,140163.1305,142751.6256,,106836.7056,202974.0633,170697.6271,130673.3818,,110824.1658,93740.72542,167934.0357,94405.03556,115985.1881,94784.36322,140091.7918
8/1/02,151284.8106,132906.797,259113.4483,190003.7677,220531.324,166801.9361,153712.0998,195806.8775,103645.1739,115907.9091,136059.0719,81098.14146,178465.7206,113111.771,138537.546,270294.4456,176784.766,178171.6438,216662.3963,134440.5052,229318.5266,181091.949,212494.8637,166726.8734,118017.9242,181291.0576,98304.21013,116478.3015,123464.5535,143088.566,90447.0197,133263.3624,101534.7058,113430.2323,153251.9421,111742.9478,140973.4602,142833.4183,,107081.4655,205075.4862,171897.6044,130998.138,,111126.2502,94022.79146,168497.3266,94733.69265,116134.2853,95063.67405,141441.926
9/1/02,152726.7066,134092.4683,262963.1088,191698.2027,223814.5666,167402.3525,154421.0513,196482.9041,103680.5697,116375.1949,136730.8572,81389.39191,178341.7016,113971.6148,138797.8144,273623.7223,177496.0681,182001.7819,217196.8121,134819.3221,232078.631,183208.2278,215221.8532,167956.3473,118255.23,183375.2936,98331.03568,116841.8187,123779.017,143534.2887,90741.85231,133706.7322,101839.2321,114031.0337,154584.7162,112238.3269,141678.5155,143414.1748,,107341.2976,206953.5487,173025.4691,131310.2311,,111454.3349,94352.11702,169113.342,95070.58467,116246.0915,95360.66592,142734.7362
10/1/02,154125.7361,135276.5847,266616.337,193387.5673,227267.6732,167962.4434,155132.7967,197144.2861,103826.059,116776.2002,137479.2478,81765.61497,177989.0575,114814.0024,139054.8298,277461.6845,178388.0734,185749.4818,217731.4467,135264.3707,234791.2899,185226.0297,218143.3915,169151.5884,118527.8985,185664.0801,98361.67866,117206.0663,124076.1812,144002.7458,91025.4999,134096.5125,102180.0727,114677.4965,156020.6487,112574.9798,142418.7465,143936.5412,,107600.9589,209165.28,174182.9802,131629.7897,,111814.0286,94745.60023,169601.582,95444.38339,116346.805,95643.85945,143915.0453
